primary_rank,primary_rank_score,architecture,grouping_method_short,grouping_feature_set_short,feature_group,seed,experiment,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_degree_hours_per_building_day,primary_comfort_exceedance_pct,primary_comfort_degree_hours_total,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,wandb_run_id
78,70.1667,TarMAC hybrid,agglomerative,capacity_load_3f,compact fixed grouping,0.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed0,54.0901,0.6963,0.6963,5.5871,22.2619,3910.9855,3740.0,149.6,532.0,-5871.7276,
79,71.4167,TarMAC hybrid,gmm,capacity_load_5f,compact fixed grouping,42.0,mappo_grouped_tarmac_hybrid_gmm_capacity_load_5f_linear_vt_500_final,53.0838,-0.9417,0.9417,5.8964,23.75,4127.4949,3990.0,159.6,523.0,-6114.9309,
82,74.75,TarMAC soft-router,soft_router,dynamic_capacity_router_5f,dynamic soft-router,42.0,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_temp05_vt_500_final,48.6631,-5.8521,5.8521,12.9005,29.8095,9030.368,5008.0,200.32,439.0,-8199.3265,
83,76.0,TarMAC hybrid,agglomerative,3f_H_heatmean_tempstd,3f feature ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_H_heatmean_tempstd_vt_500_seed0,47.4219,-6.0256,6.0256,16.4955,25.3095,11546.8216,4252.0,170.08,590.0,-8050.7055,
84,76.75,TarMAC SOC regrouping,agglomerative,soc6f,policy-induced SOC regrouping,42.0,mappo_grouped_tarmac_soc6f_agglomerative_linear_vt_500_seed42,48.9702,-4.49,4.49,10.4751,25.119,7332.5508,4220.0,168.8,510.0,-7043.4003,
85,77.1667,TarMAC hybrid,kmeans,operational_profile,previous larger/full,42.0,mappo_grouped_tarmac_hybrid_kmeans_operational_profile_vt_500_final,55.9836,-0.5487,0.5487,7.7173,24.5,5402.1188,4116.0,164.64,612.0,-6589.6976,
86,77.3333,TarMAC soft-router,soft_router,dynamic_twostage_3f_router_only,dynamic soft-router,0.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed0,54.5179,1.5776,1.5776,6.2486,21.6131,4374.0316,3631.0,145.24,525.0,-5869.9279,
87,78.1667,TarMAC hybrid,agglomerative,capacity_load_3f_comfort15_binary30_degree10,capacity load reward ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_comfort15_binary30_degree10_seed2,51.2723,-3.9279,3.9279,7.3474,20.9286,5143.154,3516.0,140.64,498.0,-24362.8234,
88,78.5,TarMAC hybrid,agglomerative,capacity_cooling_3f_tx_aug_sep_comfort15_binary30_degree10,capacity cooling reward/season ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_cooling_3f_linear_tx_aug_sep_500_comfort15_binary30_degree10_seed2,73.778,-43.3178,43.3178,1.2579,9.8556,943.4348,1774.0,70.96,252.0,-9379.1522,
89,79.25,TarMAC hybrid,agglomerative,capacity_load_3f_nmbe1_cvrmse1_comfort15_binary30_degree15,capacity load reward ablation,2.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_nmbe1_cvrmse1_comfort15_binary30_degree15_seed2,52.42,-1.7279,1.7279,15.4887,36.625,10842.0588,6153.0,246.12,430.0,-52947.029,
90,81.1667,PowerNet global,agglomerative,capacity_load_3f,compact fixed grouping,42.0,mappo_grouped_powernet_global_agglomerative_capacity_load_3f_vt_500_final,50.2429,2.9423,2.9423,9.9656,29.8571,6975.9452,5016.0,200.64,542.0,-7930.1273,
92,81.5833,TarMAC hybrid,kmeans,static_extended,previous larger/full,42.0,mappo_grouped_tarmac_hybrid_kmeans_static_extended_vt_500_final,50.6258,3.7907,3.7907,11.8341,28.7381,8283.8801,4828.0,193.12,439.0,-8108.6298,
