overall_rank,overall_rank_score,primary_rank,primary_rank_score,recommended_rank,recommended_rank_score,experiment,method,algorithm_family,n_episodes,seed,test_month,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_exceedance_pct,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,test_step_reward_mean,kpi_electricity_consumption,kpi_carbon_emissions,kpi_cost,kpi_ramping,kpi_daily_peak,kpi_all_time_peak,kpi_load_factor,secondary_cost_change_pct,secondary_cost_absolute,secondary_cost_baseline,secondary_carbon_emissions_change_pct,secondary_carbon_emissions_kgco2e,secondary_carbon_emissions_baseline_kgco2e,secondary_site_energy_change_pct,secondary_site_total_energy_kwh,secondary_site_total_energy_baseline_kwh,secondary_peak_demand_kw,secondary_peak_demand_baseline_kw,secondary_peak_demand_change_pct,secondary_peak_demand_time,secondary_peak_demand_baseline_time,secondary_system_ramping_kw,secondary_system_ramping_baseline_kw,secondary_peak_to_valley_ratio_pct,secondary_peak_to_valley_ratio_baseline_pct,secondary_load_factor_pct,secondary_load_factor_baseline_pct,secondary_fairness_gini,secondary_fairness_entropy,secondary_fairness_max_share_pct,fairness_rank_score,site_energy_rank_score,peak_demand_rank_score,peak_to_valley_ratio_rank_score,load_factor_rank_score,system_ramping_rank_score,train_load_cv_rmse_pct,train_load_nmbe_pct,train_comfort_exceedance_pct,train_reward_sum,wandb_run_id,wandb_started_at,wandb_runtime_seconds,wandb_program,result_dir,wandb_run_dir
45,32.8704,31,29.5,32,28.975,mappo_grouped_gat_vt_500_final2,MAPPO grouped GAT,MAPPO,500.0,42.0,2,51.3497,-2.9221,2.9221,23.0119,3866.0,154.64,415.0,-5795.4177,-8.637,1.2663,,,1.448,1.1779,1.1019,0.9011,,0.0,0.0,,0.0,0.0,26.6327,68191.9599,70244.5675,263.6886,264.0817,-0.1488,D03 04:00,D03 09:00,537.3804,198.518,3332.8497,212.3597,61.0004,73.0776,0.2012,0.9803,6.5869,42.3333,16.0,28.0,50.0,22.0,49.0,38.44322898320654,0.33257712723693267,13.118279569892474,-3882.6329164505005,qtytkaor,2026-04-24T06:16:32.207097Z,30414.0,-m mappo_grouped_gat.train,results/mappo_grouped_gat_vt_500_final2,wandb/run-20260424_141632-qtytkaor
35,30.2315,38,34.9167,33,29.4875,mappo_grouped_tarmac_soft_router_vt_500_final_stable_temperature_1_warmup_100,MAPPO grouped tarmac soft router stable temperature 1 warmup 100,MAPPO,500.0,42.0,2,52.5414,-5.7213,5.7213,21.8869,3677.0,147.08,400.0,-6535.0646,-9.7393,1.2507,,,1.3501,1.1604,1.0408,0.9363,,0.0,0.0,,0.0,0.0,25.0653,66196.211,70213.3147,249.4881,262.3784,-4.9129,D03 05:00,D03 09:00,508.6427,200.5031,1015.4607,214.0308,59.2735,72.9919,0.1813,0.9839,6.8302,41.3333,8.0,6.0,30.0,44.0,38.0,39.779799558644605,0.5940883768106231,19.741935483870968,-6331.2474418878555,,,,,results/mappo_grouped_tarmac_soft_router_vt_500_final_stable_temperature_1_warmup_100,
30,29.2037,33,30.1667,34,30.225,mappo_grouped_tarmac_hybrid_linear_vt_500_final2,MAPPO grouped tarmac hybrid linear,MAPPO,500.0,42.0,2,50.3944,-3.1259,3.1259,22.1964,3729.0,149.16,513.0,-5999.5236,-8.9412,1.2779,,,1.3945,1.2005,1.0726,0.9409,,0.0,0.0,,0.0,0.0,27.7905,68537.3827,70748.9251,264.9102,264.6387,0.1026,D02 19:00,D03 09:00,526.0101,200.7607,727.4586,213.2161,59.3147,73.0393,0.151,0.9891,5.9831,18.3333,23.0,31.0,14.0,42.0,44.0,37.87028840824918,0.7698904483185144,16.951612903225808,-5329.791614532471,,,,,results/mappo_grouped_tarmac_hybrid_linear_vt_500_final2,
28,28.5185,24,27.1667,35,30.875,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed1,MAPPO grouped tarmac hybrid agglomerative capacity load 5f linear vt 500 seed1,MAPPO,500.0,1.0,2,53.3345,2.0525,2.0525,17.375,2919.0,116.76,490.0,-4706.155,-7.0136,1.3415,,,1.3218,1.2567,1.0943,0.9397,,0.0,0.0,,0.0,0.0,34.1542,73096.1531,71626.0355,269.933,266.9737,1.1085,D03 05:00,D03 09:00,500.0112,200.164,504.3222,214.5921,59.5033,72.9967,0.1448,0.9899,5.9086,13.6667,52.0,36.5,1.0,39.0,33.0,41.897927634400936,4.557854708222689,8.048387096774194,-2703.478542268276,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed1,
43,32.0185,32,29.8333,36,31.325,mappo_grouped_tarmac_hybrid_gmm_capacity_load_5f_linear_vt_500_final,MAPPO grouped tarmac hybrid gmm capacity load 5f linear,MAPPO,500.0,42.0,2,53.0838,-0.9417,0.9417,23.75,3990.0,159.6,523.0,-6114.9309,-9.1132,1.3085,,,1.515,1.2379,1.0526,0.9454,,0.0,0.0,,0.0,0.0,30.8466,70307.9223,70976.2866,256.9115,256.9365,-0.0097,D03 07:00,D03 09:00,568.9234,198.2281,880.3082,213.8177,59.0302,72.9677,0.1383,0.9906,6.1101,12.6667,39.0,23.0,22.0,47.0,55.0,39.10357776496175,3.467545190273022,11.60215053763441,-3643.2679181694984,,,,,results/mappo_grouped_tarmac_hybrid_gmm_capacity_load_5f_linear_vt_500_final,
50,35.787,36,32.9167,37,31.6875,mappo_grouped_tarmac_hybrid_kmeans_operational_profile_vt_500_final,MAPPO grouped tarmac hybrid kmeans operational profile,MAPPO,500.0,42.0,2,55.9836,-0.5487,0.5487,24.5,4116.0,164.64,612.0,-6589.6976,-9.8207,1.2993,,,1.4349,1.2425,1.0616,0.9605,,0.0,0.0,,0.0,0.0,29.9275,70722.3889,71112.5493,256.5111,263.3113,-2.5826,D03 05:00,D03 09:00,536.2587,200.1587,2689.3408,213.0689,58.3777,73.1287,0.1557,0.9881,6.5942,30.3333,33.0,13.0,47.0,52.0,48.0,42.295382733799855,-0.27330912388045514,18.688172043010752,-5603.269236385822,,,,,results/mappo_grouped_tarmac_hybrid_kmeans_operational_profile_vt_500_final,
32,29.6389,44,37.25,38,31.8375,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_prior05_vt_500_final,MAPPO grouped tarmac soft router agglomerative 5f capacity router prior05,MAPPO,500.0,42.0,2,52.7155,-3.6121,3.6121,25.0774,4213.0,168.52,445.0,-6522.1759,-9.7201,1.272,,,1.2887,1.2,1.0422,0.9459,,0.0,0.0,,0.0,0.0,27.2016,67958.0118,70504.7305,250.4704,266.7294,-6.0957,D02 06:00,D03 09:00,489.4422,204.7541,1655.2214,214.1121,59.0515,72.9766,0.1402,0.9903,6.3413,16.0,21.0,6.0,43.0,45.0,24.0,38.86230151807382,-1.112324811196947,22.489247311827956,-6867.961461365223,,,,,results/mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_prior05_vt_500_final,
47,34.0463,30,28.75,39,32.2625,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_vt_500_seed0,MAPPO grouped tarmac soft router twostage 3f expert freeze200 temp05 prior1 vt 500 seed0,MAPPO,500.0,0.0,2,53.1127,1.5214,1.5214,19.7024,3310.0,132.4,564.0,-5303.6425,-7.9041,1.3421,,,1.3595,1.2376,1.0981,0.9228,,0.0,0.0,,0.0,0.0,34.2097,72651.961,71563.1998,267.9894,265.1714,1.0627,D02 20:00,D03 09:00,512.9361,201.2902,1524.9228,216.2064,60.0415,72.7733,0.1412,0.9896,6.533,20.6667,53.0,34.5,41.0,32.0,39.0,39.74368607150593,4.746152291894015,9.198924731182796,-3125.1034630537033,,,,,results/mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_vt_500_seed0,
39,31.4537,45,37.75,40,32.6625,mappo_grouped_powernet_global_gmm_static_operational_vt_500_final,MAPPO grouped powernet global gmm static operational,MAPPO,500.0,42.0,2,47.6097,-12.5494,12.5494,36.3452,6106.0,244.24,574.0,-13682.2484,-20.3908,1.1786,,,1.195,1.0853,1.1271,0.9178,,0.0,0.0,,0.0,0.0,17.863,60433.2956,69105.6291,270.0761,265.5948,1.6873,D03 06:00,D03 09:00,451.4203,203.1444,1647.707,213.0261,60.1095,72.7845,0.207,0.9772,9.5971,50.3333,2.0,38.5,42.0,31.0,6.0,39.12187811252957,-14.689735894860345,34.96236559139785,-19433.295215129852,,,,,results/mappo_grouped_powernet_global_gmm_static_operational_vt_500_final,
37,30.9722,47,40.25,41,32.6875,mappo_grouped_tarmac_soft_router_vt_500_final_balanced_temperature0.7_warmup50,MAPPO grouped tarmac soft router balanced temperature0.7 warmup50,MAPPO,500.0,42.0,2,49.6939,-7.8848,7.8848,31.4881,5290.0,211.6,551.0,-10883.3506,-16.2196,1.2459,,,1.2188,1.1195,1.068,0.9156,,0.0,0.0,,0.0,0.0,24.5916,64215.2424,69711.911,252.7488,258.4596,-2.2095,D02 20:00,D03 09:00,458.365,199.9067,2139.0111,212.2351,60.2849,73.1292,0.2497,0.9656,11.6053,53.0,7.0,13.0,46.0,29.0,10.0,37.76181002296875,-0.04692811524664388,17.672043010752688,-5764.095665335655,,,,,results/mappo_grouped_tarmac_soft_router_vt_500_final_balanced_temperature0.7_warmup50,
48,34.2963,42,37.0,42,33.0,mappo_grouped_powernet_global_agglomerative_capacity_load_4f_vt_500_final,MAPPO grouped powernet global agglomerative capacity load 4f,MAPPO,500.0,42.0,2,52.306,-2.4823,2.4823,33.625,5649.0,225.96,539.0,-9665.5722,-14.4047,1.2911,,,1.4212,1.2314,1.0275,0.9612,,0.0,0.0,,0.0,0.0,29.1127,68784.1684,70535.0835,245.7019,270.5392,-9.1807,D03 08:00,D03 09:00,527.9183,200.8191,882.1926,211.1075,58.8986,73.4833,0.2184,0.9707,10.9197,51.6667,27.0,3.0,23.0,48.0,45.0,38.08866865554778,-1.4208474388548065,32.90860215053763,-10326.28260064125,,,,,results/mappo_grouped_powernet_global_agglomerative_capacity_load_4f_vt_500_final,
53,40.6019,34,30.25,43,34.3875,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed0,MAPPO grouped tarmac hybrid agglomerative capacity load 3f linear vt 500 seed0,MAPPO,500.0,0.0,2,54.0901,0.6963,0.6963,22.2619,3740.0,149.6,532.0,-5871.7276,-8.7507,1.3329,,,1.3648,1.2496,1.1276,0.9475,,0.0,0.0,,0.0,0.0,33.2872,72026.237,71528.1914,280.6289,267.4564,4.9251,D02 20:00,D03 09:00,516.0491,201.8371,5367.3509,213.485,58.8812,72.9196,0.1588,0.9871,6.8529,34.6667,47.0,49.0,53.0,49.0,42.0,41.266196074989296,3.010693255380472,14.499999999999998,-4259.2966985702515,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed0,
44,32.5926,50,42.3333,44,34.55,mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_vt_500_final,MAPPO grouped tarmac soft router agglomerative 5f capacity router,MAPPO,500.0,42.0,2,50.696,-6.7877,6.7877,37.9167,6370.0,254.8,517.0,-10780.6567,-16.0666,1.2403,,,1.3069,1.1569,1.0167,0.9376,,0.0,0.0,,0.0,0.0,24.0259,65189.8525,69936.9912,248.8385,256.2299,-2.8847,D02 20:00,D03 09:00,498.8402,207.4868,8234.1215,216.6908,59.3654,72.8703,0.1474,0.9886,7.0658,28.3333,6.0,7.0,54.0,41.0,30.0,39.26207554450961,-5.208204671368975,32.505376344086024,-10432.801073551178,,,,,results/mappo_grouped_tarmac_soft_router_agglomerative_5f_capacity_router_vt_500_final,
40,31.5093,37,34.5833,45,34.9375,mappo_grouped_powernet_global_agglomerative_capacity_load_3f_vt_500_final,MAPPO grouped powernet global agglomerative capacity load 3f,MAPPO,500.0,42.0,2,50.2429,2.9423,2.9423,29.8571,5016.0,200.64,542.0,-7930.1273,-11.8184,1.3493,,,1.3018,1.2272,1.0709,0.8878,,0.0,0.0,,0.0,0.0,34.926,73935.2605,71822.0673,262.885,264.8043,-0.7248,D03 08:00,D03 09:00,485.7508,198.2024,927.5274,215.1444,61.8279,73.1554,0.1689,0.9862,6.874,38.3333,54.0,25.5,26.0,15.0,21.0,38.2672347512775,9.90023770233944,19.586021505376344,-5910.807907938957,,,,,results/mappo_grouped_powernet_global_agglomerative_capacity_load_3f_vt_500_final,
38,31.0463,46,38.75,46,36.0625,mappo_grouped_comm_v2_vt_500_final2,MAPPO grouped comm v2,MAPPO,500.0,42.0,2,52.923,-3.8049,3.8049,23.994,4031.0,161.24,458.0,-6319.2607,-9.4177,1.2737,,,1.325,1.1837,1.1082,0.9214,,0.0,0.0,,0.0,0.0,27.3657,67509.8294,70180.1485,270.2821,270.4208,-0.0513,D03 08:00,D03 09:00,498.0304,202.727,818.8635,212.718,60.168,72.8616,0.1498,0.9884,7.052,30.6667,22.0,33.5,18.0,30.0,29.0,40.69889564205801,0.7789102660734545,16.903225806451612,-5130.091753721237,61zpejb5,2026-04-24T06:16:27.261420Z,29676.0,-m mappo_grouped_comm_v2.train,results/mappo_grouped_comm_v2_vt_500_final2,wandb/run-20260424_141627-61zpejb5
24,28.1019,39,35.0833,47,36.8125,mappo_grouped_tarmac_hybrid_kmeans_static_extended_vt_500_final,MAPPO grouped tarmac hybrid kmeans static extended,MAPPO,500.0,42.0,2,50.6258,3.7907,3.7907,28.7381,4828.0,193.12,439.0,-8108.6298,-12.0844,1.3414,,,1.2818,1.2384,1.0966,0.8885,,0.0,0.0,,0.0,0.0,34.1367,75141.2051,72396.8605,275.0982,268.7276,2.3707,D02 20:00,D03 09:00,483.439,202.2654,627.3935,213.7272,61.8612,73.0522,0.1232,0.9922,6.3215,7.6667,51.0,44.0,11.0,14.0,20.0,39.74498163155737,5.3401735494083455,22.838709677419356,-7373.94523525238,,,,,results/mappo_grouped_tarmac_hybrid_kmeans_static_extended_vt_500_final,
49,34.787,52,44.5833,48,37.0875,mappo_grouped_dial_vt_500_final2,MAPPO grouped dial,MAPPO,500.0,42.0,2,52.3899,-7.2451,7.2451,40.2083,6755.0,270.2,454.0,-11255.8082,-16.7747,1.2376,,,1.3379,1.2373,1.0471,1.0343,,0.0,0.0,,0.0,0.0,23.7593,64791.6362,69852.5579,254.5169,259.8268,-2.0436,D07 22:00,D03 09:00,498.9531,202.9649,1026.1565,209.157,55.0135,73.2893,0.1686,0.9855,7.4108,41.3333,5.0,16.0,31.0,55.0,31.0,38.75008416272448,-5.517050205569781,42.096774193548384,-13712.93865776062,sebb4671,2026-04-24T06:16:27.262010Z,29981.0,-m mappo_grouped_dial.train,results/mappo_grouped_dial_vt_500_final2,wandb/run-20260424_141627-sebb4671
42,32.0185,51,43.8333,49,37.675,mappo_grouped_tarmac_soft_router_agglomerative_5f_no_capacity_router_vt_500_final,MAPPO grouped tarmac soft router agglomerative 5f no capacity router,MAPPO,500.0,42.0,2,52.8232,-6.3379,6.3379,33.4583,5621.0,224.84,439.0,-9525.049,-14.1953,1.2562,,,1.3319,1.1905,1.0713,0.9714,,0.0,0.0,,0.0,0.0,25.6188,65636.7918,70078.2498,262.8941,268.8403,-2.2118,D03 05:00,D03 09:00,504.6833,208.1063,773.9672,216.3832,57.5184,72.6274,0.1497,0.9884,6.1285,21.6667,10.0,21.0,17.0,53.0,34.0,39.38310805056282,-3.7321001352660526,28.973118279569892,-9345.488253355026,,,,,results/mappo_grouped_tarmac_soft_router_agglomerative_5f_no_capacity_router_vt_500_final,
54,41.7037,43,37.1667,50,38.425,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_4f_linear_vt_500_final,MAPPO grouped tarmac hybrid agglomerative capacity load 4f linear,MAPPO,500.0,42.0,2,53.8637,1.3417,1.3417,28.5238,4792.0,191.68,588.0,-7373.1419,-10.9883,1.323,,,1.4849,1.2511,1.0836,0.9469,,0.0,0.0,,0.0,0.0,32.297,72890.5573,71925.5351,273.6089,276.4196,-1.0168,D02 22:00,D03 09:00,562.6301,204.1836,2029.2732,216.8961,58.7323,72.5604,0.1516,0.9873,7.8455,36.3333,45.0,33.5,44.0,51.0,54.0,41.25419833581081,0.86772261297318,20.301075268817204,-6018.305156826973,,,,,results/mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_4f_linear_vt_500_final,
41,31.6944,49,40.75,51,41.1625,mappo_grouped_powernet_global_gmm_capacity_load_5f_vt_500_final,MAPPO grouped powernet global gmm capacity load 5f,MAPPO,500.0,42.0,2,52.6427,4.94,4.94,23.244,3905.0,156.2,641.0,-7807.2103,-11.6352,1.3632,,,1.3174,1.2431,1.0896,0.8661,,0.0,0.0,,0.0,0.0,36.3229,75370.25,71822.2461,270.7873,269.754,0.383,D02 20:00,D03 09:00,493.9672,201.1097,677.1369,217.055,62.7475,72.9629,0.1532,0.9886,6.0992,22.0,55.0,37.0,13.0,8.0,28.0,41.593223169232054,9.230864143225912,11.096774193548386,-3719.8505051136017,,,,,results/mappo_grouped_powernet_global_gmm_capacity_load_5f_vt_500_final,
55,42.5741,53,45.0,52,41.55,mappo_grouped_powernet_global_agglomerative_static_operational_vt_500_final,MAPPO grouped powernet global agglomerative static operational,MAPPO,500.0,42.0,2,58.8911,-2.8959,2.8959,39.4464,6627.0,265.08,578.0,-11970.8511,-17.8403,1.2913,,,1.4501,1.2721,1.0387,0.9982,,0.0,0.0,,0.0,0.0,29.1329,68374.7869,70413.9213,256.6097,255.8459,0.2985,D02 19:00,D03 09:00,557.8388,209.299,1406.7958,219.0419,56.6322,72.8539,0.2251,0.9749,8.1893,50.6667,28.0,23.5,39.0,54.0,53.0,47.98890715150653,-3.7668979218385563,35.19892473118279,-13095.765274047852,,,,,results/mappo_grouped_powernet_global_agglomerative_static_operational_vt_500_final,
52,38.2685,48,40.25,53,42.4875,mappo_standard_vt_500_final3,MAPPO standard,MAPPO,500.0,42.0,2,53.2983,5.2886,5.2886,21.0833,3542.0,141.68,625.0,-5768.7278,-8.5972,1.3408,,,1.3307,1.2795,1.2137,0.9087,,0.0,0.0,,0.0,0.0,34.084,75759.265,71953.9173,299.3276,273.9167,9.2769,D03 07:00,D03 09:00,506.424,203.9963,1248.7509,216.789,60.7545,72.8578,0.1507,0.9891,6.3089,21.6667,50.0,55.0,34.0,27.0,36.0,40.65375166198761,6.939850087703175,8.397849462365592,-2853.0633302927017,tdxkwwwt,2026-04-24T06:20:39.741565Z,32896.0,-m mappo_standard.train,results/mappo_standard_vt_500_final3,wandb/run-20260424_162039-tdxkwwwt
46,33.713,54,45.75,54,42.8125,mappo_grouped_powernet_vt_500_final2,MAPPO grouped powernet,MAPPO,500.0,42.0,2,50.1563,9.1475,9.1475,45.744,7685.0,307.4,658.0,-18229.8659,-27.1682,1.4331,,,1.2111,1.2171,1.073,0.7873,,0.0,0.0,,0.0,0.0,43.3135,79098.1765,72469.0557,259.7772,261.426,-0.6307,D03 08:00,D03 09:00,459.1774,203.3981,1519.8288,215.3324,66.0403,72.8135,0.1484,0.9877,8.3473,33.6667,56.0,23.5,40.0,2.0,11.0,38.02874097471721,6.582508746540274,33.19892473118279,-14306.106703996658,jfptqs43,2026-04-24T06:16:27.212057Z,29823.0,-m mappo_grouped_powernet.train,results/mappo_grouped_powernet_vt_500_final2,wandb/run-20260424_141627-jfptqs43
51,36.5648,55,45.75,55,43.9625,mappo_grouped_powernet_global_kmeans_operational_profile_vt_500_final,MAPPO grouped powernet global kmeans operational profile,MAPPO,500.0,42.0,2,53.3941,3.7482,3.7482,31.3571,5268.0,210.72,628.0,-8419.4369,-12.5476,1.3367,,,1.4462,1.2248,1.1008,0.875,,0.0,0.0,,0.0,0.0,33.6674,74445.9331,71756.3514,259.382,260.8429,-0.5601,D03 07:00,D03 09:00,546.3703,203.645,938.6072,213.6321,62.2769,73.0922,0.1721,0.9854,6.2653,33.3333,48.0,23.5,27.0,10.0,50.0,39.36000389214222,3.591028254734908,16.844086021505376,-5058.42992079258,,,,,results/mappo_grouped_powernet_global_kmeans_operational_profile_vt_500_final,
56,46.9444,56,55.3333,56,47.55,rbc_baseline_vt_february,BasicBatteryRBC,RBC,,,2,138.266,109.3673,109.3673,68.3458,11465.0,458.6,586.0,,,,,,,,,,,,,,,,29.4738,94399.7005,72910.26,218.8383,239.0163,-8.4421,,,,,,,,,,,,56.0,30.0,2.5,56.0,56.0,56.0,,,,,,,,,target_folder/rbc_baseline_vt_february,
